"","COUNTRY_FINAL","V1"
"1","India",367
"2","China",351
"3","United Kingdom",260
"4","France",250
"5","Afghanistan",220
"6","Japan",219
"7","Canada",184
"8","Germany",133
"9","Iraq",131
"10","Israel",108
"11","Russia",106
"12","Iran",103
"13","Kenya",101
"14","South Africa",99
"15","Saudi Arabia",97
"16","Pakistan",92
"17","Egypt",86
"18","Mexico",82
"19","Brazil",77
"20","Australia",69
"21","Italy",49
"22","South Korea",48
"23","Turkey",45
"24","Ireland",37
"25","Bangladesh",36
"26","Switzerland",35
"27","Palestine",34
"28","Philippines",33
"29","Netherlands",30
"30","Nigeria",30
"31","Norway",30
"32","Spain",30
"33","Kuwait",29
"34","Sweden",28
"35","Bosnia",25
"36","Indonesia",25
"37","Chile",24
"38","Haiti",22
"39","Somalia",22
"40","Ethiopia",20
"41","Hong Kong",20
"42","Malaysia",20
"43","Poland",20
"44","Belgium",19
"45","Thailand",19
"46","Uganda",18
"47","Colombia",17
"48","Ghana",16
"49","Jordan",16
"50","Liberia",16
"51","Rwanda",16
"52","Ukraine",16
"53","Zimbabwe",16
"54","Romania",15
"55","Serbia",15
"56","Sudan",15
"57","Greece",14
"58","Guatemala",14
"59","Cuba",13
"60","Finland",13
"61","New Zealand",13
"62","Cambodia",12
"63","Morocco",12
"64","Senegal",12
"65","Argentina",11
"66","Lebanon",11
"67","Syria",11
"68","Tunisia",11
"69","Algeria",10
"70","Nepal",10
"71","Yemen",10
"72","Austria",9
"73","El Salvador",9
"74","Hungary",9
"75","Iceland",9
"76","Malawi",9
"77","Togo",9
"78","UAE",9
"79","viet nam",9
"80","Denmark",8
"81","Mali",8
"82","Myanmar (Burma)",8
"83","Singapore",8
"84","Zambia",8
"85","COTE D'IVOIRE",7
"86","DRC",7
"87","Nicaragua",7
"88","Peru",7
"89","Portugal",7
"90","Croatia",6
"91","Czechoslovakia",6
"92","Sierra Leone",6
"93","Sri Lanka",6
"94","Tanzania",6
"95","Venezuela",6
"96","Bahrain",5
"97","Libya",5
"98","Mozambique",5
"99","Niger",5
"100","Qatar",5
"101","Cameroon",4
"102","Ecuador",4
"103","Guinea",4
"104","Honduras",4
"105","Kosovo",4
"106","Panama",4
"107","Papua New Guinea",4
"108","Swaziland",4
"109","Armenia",3
"110","Bolivia",3
"111","Botswana",3
"112","Burkina Faso",3
"113","Cyprus",3
"114","Dominican Rep",3
"115","Eritrea",3
"116","Guyana",3
"117","Jamaica",3
"118","Luxembourg",3
"119","Paraguay",3
"120","slovakia",3
"121","Barbados",2
"122","Brunei",2
"123","gambia",2
"124","Lithuania",2
"125","Mauritania",2
"126","Oman",2
"127","Seychelles",2
"128","Angola",1
"129","Antigua and Barbuda",1
"130","Belarus",1
"131","Bhutan",1
"132","Bulgaria",1
"133","Cape Verde",1
"134","Costa Rica",1
"135","Georgia",1
"136","Grenada",1
"137","Kazakhstan",1
"138","Latvia",1
"139","Liechtenstein",1
"140","Malta",1
"141","Monaco",1
"142","Mongolia",1
"143","Namibia",1
"144","samoa",1
"145","Slovenia",1
"146","Vietnam",1
"147","Yugoslavia",1
